127.0.0.1 - - [02/Jul/2024:10:02:58 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:01 +0530] "GET /Restaurant/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:03 +0530] "GET /Restaurant/logo.png HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:03 +0530] "GET /Restaurant/menu-item1.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:03 +0530] "GET /Restaurant/menu-item2.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:03 +0530] "GET /Restaurant/hero-bg.jpg HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:04 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/Menu.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/logo.png HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/chinese-dish1.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/chinese-dish2.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/italian-dish1.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/bakery-item2.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/italian-dish2.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/Tea.png HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/Coldcoffee.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:13 +0530] "GET /Restaurant/bakery-item1.jpg HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [02/Jul/2024:10:03:40 +0530] "POST /Restaurant/submitform HTTP/1.1" 200 137
